member_id,member
373,H.L. Griffith
374,Marie Dressler
375,Charles Chaplin
376,Mabel Normand
377,Mack Swain
378,Charles Bennett
379,Chester Conklin
380,Lili Berky
381,Victor Varconi
382,Mari Jászai
383,Andor Szakács
384,Gyula Nagy
385,Marcsa Simon
386,István Szentgyörgyi
387,Alajos Mészáros
388,Kató Berky
389,Elemér Hetényi
390,Zoltán Gálosi
391,Endre Kertész
392,Fülöp Erdõs
393,Adorján Nagy
394,Mihály Fekete
395,Sam Lucas
396,Walter Hitchcock
397,Hattie Delaro
398,Master Abernathy
399,Teresa Michelena
400,Irving Cummings
401,Paul Scardon
402,Marie Eline
403,Garfield Thompson
404,Roy Applegate
405,Boots Wall
406,Jack W. Johnston
407,William Elmer
408,James Griswold
409,Horace B. Carpenter
410,Tex Driscoll
411,Vivian Martin
412,Alec B. Francis
413,Chester Barnett
414,Gyp Williams
415,Simeon Wiltsie
416,Walter Morton
417,Johnny Hines
418,Sessue Hayakawa
419,Tsuru Aoki
420,Frank Borzage
421,Kisaburô Kurihara
422,Henry Kotani
423,Gladys Brockwell
424,Herschel Mayall
425,Robert Warwick
426,Robert Cummings
427,Frederick Truesdell
428,Ruth Shepley
429,D.J. Flanagan
430,Walter Craven
431,John Boone
432,George Cummings
433,Thomas Mott Osborne
434,Viola Savoy
435,Herbert Rice
436,Harry Marks
437,Louis Merkle
438,William Tilden
439,Walter Long
440,Wallace Reid
441,Joseph Henabery
442,Elmer Clifton
443,Geraldine Farrar
444,Pedro de Cordoba
445,Jeanie Macpherson
446,Anita King
447,Milton Brown
448,Fannie Ward
449,Jack Dean
450,James Neill
451,Yutaka Abe
452,Dana Ong
453,Hazel Childers
454,Arthur H. Williams
455,Frank Keenan
456,Charles Ray
457,Gertrude Claire
458,Patricia Palmer
459,Nick Cogley
460,Charles K. French
461,Minnie Devereaux
462,Runa Hodges
463,Mabel Frenyear
464,May Allison
465,Theda Bara
466,Victor Benoit
467,Frank Powell
468,Minna Gale
469,Creighton Hale
470,Cleo Ridgely
471,Ernest Joy
472,Edythe Chapman
473,Raymond Hatton
474,Mrs. Lewis McCord
475,Peter Fjelstrup
476,Charles Wilken
477,Ulla Johansen
478,Jon Iversen
479,Aage Schmidt
480,Mathilde Nielsen
481,Carl Gottschalksen
482,Grethe Brandes
483,Elith Pio
484,Osvald Helmuth
485,Jørgen Lund
486,George Beban
487,Leo Willis
488,Fanny Midgley
489,Leone Papa
490,Clementina Gay
491,Amelia Chellini
492,Didaco Chellini
493,Ada Marangoni
494,Sam De Grasse
495,Allan Sears
496,Alfred Paget
497,John T. Dillon
498,Juanita Hansen
499,Ora Carew
500,Tom Wilson
501,Augustus Carney
502,William Farnum
503,Claire Whitney
504,George De Carlton
505,Henry Armetta
506,Vitold Polonsky
507,Olga Rakhmanova
508,Vera Karalli
509,Mariya Khalatova
510,Tamara Gedevanova
511,Marfa Kassatskaya
512,Georg Asagaroff
513,Andrea Habay
514,Ugo Bazzini
515,Giovanni Cini
516,John McCann
517,James A. Marcus
518,Maggie Weston
519,Harry McCoy
520,Rockliffe Fellowes
521,William Sheer
522,Carl Harbaugh
523,Anna Q. Nilsson
524,Musidora
525,Marcel Lévesque
526,Jean Aymé
527,Fernand Herrmann
528,Stacia Napierkowska
529,Suzanne Delvé
530,Georgette Faraboni
531,Jacques Feyder
532,Fridolin
533,Rita Herlor
534,Louise Lagrange
535,Edith Taliaferro
536,Florence Dagmar
537,Tom Forman
538,Frederick Wilson
539,Al Ernest Garcia
540,Marshall Mackaye
541,Harry De Vere
542,J. Parks Jones
543,Violet Drew
544,Gertrude Kellar
545,Charles Wells
546,Dorothy Abril
547,Miss White
548,Dan Hanlon
549,Edna Pendleton
550,Curtis Benton
551,Allen Holubar
552,Lois Alexander
553,Wallis Clark
554,Norma Talmadge
555,Alice Wilson
556,Jewel Carmen
557,William Hinckley
558,W.E. Lawrence
559,George C. Pearce
560,Eugene Pallette
561,Alva D. Blake
562,Georgie Stone
563,Violet Radcliffe
564,Francis Carpenter
565,Ninon Fovieri
566,Howard Hickman
567,Enid Markey
568,Lola May
569,Claire Du Brey
570,George Fisher
571,Thomas H. Ince
572,Jerome Storm
573,Ethel Ullman
574,Woodrow Wilson
575,Tully Marshall
576,Marguerite Marsh
577,F.A. Turner
578,Howard Gaye
579,John E. Brennan
580,Paul Le Blanc
581,Victor Sjöström
582,Albin Lavén
583,Mathias Taube
584,Wanda Rothgardt
585,Jenny Tschernichin-Larsson
586,Douglas Fairbanks
587,Dorothy Haydel
588,Lillian Langdon
589,Wilbur Higby
590,J.P. McCarty
591,Fern Collier
592,Ruth Handforth
593,Kate Toncray
594,Pomeroy Cannon
595,Joseph Singleton
596,Bessie Love
597,Elmo Lincoln
598,Frank Bennett
599,Alma Rubens
600,Frank Brownlee
601,Alfred Hollingsworth
602,Robert McKim
603,Louise Glaum
604,Clarence Handyside
605,Rene Boucicault
606,Jean Temple
607,Charles Butler
608,Loretta Blake
609,Homer Hunt
610,Helena Rupport
611,William H. Brown
612,Loyola O'Connor
613,Pearl Elmore
614,Anna Dodge
615,Charles Lee
616,Robert Lawler
617,Carl Stockdale
618,Vera Lewis
619,Eleanor Washington
620,Lucille Browne
621,Julia Mackley
622,René Cresté
623,René Poyen
624,Gaston Michel
625,Yvonne Dario
626,Juliette Clarens
627,Jean Devalde
628,Georges Flateau
629,Olinda Mano
630,Constance Talmadge
631,Fred Warren
632,Clyde E. Hopkins
633,Winifred Westover
634,Tamara Duvan
635,Ivan Mozzhukhin
636,Vera Orlova
637,Nikolai Panov
638,Polycarpe Pavloff
639,Yelizaveta Shebueva
640,William Lowery
641,Alberta Lee
642,Margery Wilson
643,J.P. Lockney
644,Ernst Lubitsch
645,Else Kentner
646,Guido Herzfeld
647,Ossi Oswalda
648,Hanns Kräly
649,Fritz Rasp
650,Erich Schönfelder
651,William Gillette
652,Marjorie Kay
653,Ernest Maupain
654,Edward Fielding
655,Mario Majeroni
656,Grace Reals
657,William Postance
658,Stewart Robbins
659,Burford Hampden
660,Chester Beery
661,Frank Hamilton
662,Fred Malatesta
663,Leona Ball
664,Hugh Thompson
665,Ludwig Kreiss
666,Mary MacLaren
667,Harry Griffith
668,Mattie Witting
669,Jessie Arnold
670,William V. Mong
671,Dorothy Cumming
672,Lionel Braham
673,Alice Washburn
674,Marguerite Clark
675,Kate Lester
676,Helen Weir
677,Gladden James
678,Herbert French
679,Erich von Stroheim
680,Nathaniel Sack
681,Nils Asther
682,Lili Beck
683,Egil Eide
684,Lars Hanson
685,Julius Hälsig
686,Julius Jaenzon
687,Bertil Junggren
688,Mauritz Stiller
689,Tyrone Power Sr.
690,Mrs. Tyrone Power
691,Marie Walcamp
692,Cora Drew
693,Rena Rogers
694,Juan de la Cruz
695,C. Norman Hammond
696,William J. Hope
697,Marjorie Blynn
698,William Haben
699,Joseph W. Girard
700,Leo Pierson
701,William Dyer
702,Jean Hersholt
703,Donna Drew
704,Molly Malone
705,L.M. Wells
706,Vester Pegg
707,William Steele
708,Fritz Leiber
709,Thurston Hall
710,Alan Roscoe
711,Dorothy Drake
712,Delle Duncan
713,Henri De Vries
714,Art Acord
715,Hector V. Sarno
716,Genevieve Blinn
717,Bruno Decarli
718,Mechthildis Thein
719,Conrad Veidt
720,Doris Kenyon
721,June Elvidge
722,Jane Adair
723,Gunnar Tolnæs
724,Zanny Petersen
725,Nicolai Neiiendam
726,Alf Blütecher
727,Svend Kornbeck
728,Philip Bech
729,Lilly Jacobson
730,Birger von Cotta-Schønberg
731,Albert Paul
732,Hobart Bosworth
733,Theodore Roberts
734,Charles Clary
735,Lawrence Peyton
736,Lillian Leighton
737,Marjorie Daw
738,John Oaker
739,Jack Holt
740,Ben Alexander
741,Guy Oliver
742,DeWitt Jennings
743,Norman Kerry
744,Katherine Griffith
745,Anne Schaefer
746,Zasu Pitts
747,Gertrude Short
748,Gustav von Seyffertitz
749,George A. McDaniel
750,Emmy Lynn
751,Firmin Gémier
752,Armand Tallier
753,Anthony Gildès
754,Paul Vermoyal
755,Gaston Modot
756,Antonin Carène
757,Antonin Artaud
758,Francia Seguy
759,Kathleen Kirkham
760,Eugene Ormonde
761,Frank Campeau
762,Olga Kondorova
763,V. Dzheneyeva
764,Vladimir Gajdarov
765,Nathalie Lissenko
766,Iona Talanov
767,Pyotr Baksheyev
768,Nicolas Rimsky
769,Madlaine Traverse
770,Charles Wellesley
771,Gladys Fairbanks
772,Frank McGlynn Sr.
773,Emile La Croix
774,Marcia Harris
775,Charles Craig
776,Frank Andrews
777,Herbert Prior
778,George Gernon
779,Maxine Elliott Hicks
780,John Barrymore
781,Christine Mayo
782,H. Cooper Cliffe
783,Frank Morgan
784,Dudley Hill
785,Kathryn Adams
786,Evelyn Brent
787,Mathilde Brundage
788,Mike Donlin
789,Frederick Perry
790,Nita Allen
791,Eugene O'Brien
792,Helen Jerome Eddy
793,Charles Ogle
794,Mayme Kelso
795,Jane Wolfe
796,Jack McDonald
797,Violet Wilkey
798,Emily Gerdes
799,Elliott Dexter
800,Winter Hall
801,Aleksandr Chabrov
802,Duke R. Lee
803,George Berrell
804,Ted Brooks
805,Hoot Gibson
806,Rosita Marstini
807,Josef Swickard
808,William Clifford
809,Marc B. Robbins
810,Olive White
811,Willard Louis
812,Florence Vidor
813,James Morrison
814,August Falck
815,Edith Erastoff
816,Bergliot Husberg
817,Karin Molander
818,Axel Nilsson
819,Adolf Blomstedt
820,Gustaf Boge
821,Gucken Cederborg
822,Emma Dietrichs
823,Emil Fjellström
824,Henrik Jaenzon
825,Thyra Leijman-Uppström
826,Nils Lundell
827,Torsten Winge
828,Frank Beamish
829,Rubye De Remer
830,Ruth Barrett
831,Jack Brawn
832,George Hackathorne
833,Alice Marvin
834,Robert Gordon
835,Antrim Short
836,Clara Horton
837,Helen Gilmore
838,Carl Goetz
839,Greta Almroth
840,Nils Aréhn
841,Josua Bengtson
842,Georg Blomstedt
843,Thekla Borgh
844,Gösta Cederlund
845,Edla Rothgardt
846,Concordia Selander
847,Hjalmar Selander
848,Eileen Percy
849,Calvert Carter
850,Charles Stevens
851,William Scott
852,Kate Price
853,Ida Waterman
854,Fred Goodwins
855,Margaret Landis
856,Oscar Beregi Sr.
857,Gábor Rajnay
858,Ica von Lenkeffy
859,Margit Makay
860,Jenõ Horváth
861,Mari K. Demjén
862,Szeréna S. Fáy
863,Gyula Bartos
864,Gusztáv Vándory
865,Gyula Szöreghy
866,József Kürthy
867,Max Laurence
868,Margarete Kupfer
869,John Ekman
870,Artur Rolén
871,Sigurd Wallén
872,Hildur Carlberg
873,Edith Wallén
874,Harald Wehlnor
875,Thure Holm
876,Nils Elffors
877,Tula Belle
878,Robin Macdougall
879,Edwin E. Reed
880,Emma Lowry
881,William J. Gross
882,Florence Anderson
883,Edward Elkas
884,Katherine Bianchi
885,Lillian Cook
886,Gertrude McCoy
887,Lyn Donelson
888,Charles Ascot
889,Tom Corless
890,Mary Kennedy
891,Eleanor Masters
892,Dorothy Phillips
893,William Stowell
894,Harry von Meter
895,Lon Chaney
896,Gladys Tennyson
897,Eve Southern
898,Leopold von Ledebur
899,Grete Diercks
900,Wilhelm Diegelmann
901,Heinrich Peer
902,Sophie Pagay
903,Paul Conradi
904,Max Kronert
905,Victor Janson
906,Albert Venohr
907,Séverin-Mars
908,Jean Toulout
909,André Lefaur
910,Elizabeth Nizan
911,Ariane Hugon
912,Käthe Dorsch
913,Kitty Dewall
914,Agda Nilsson
915,Thomas Meighan
916,E. Alyn Warren
917,Michael Rayle
918,L. Rogers Lytton
919,Reid Hamilton
920,Charles Fang
921,Adolph Lestina
922,Jack Cosgrave
923,Marion Emmons
924,Francis Marion
925,Robert Anderson
926,George Fawcett
927,Fay Holderness
928,L. Lowry
929,Neva Gerber
930,Joe Harris
931,Steve Clemente
932,Millard K. Wilson
933,Fred Huntley
934,Monte Blue
935,Douglas MacLean
936,Emory Johnson
937,John Steppling
938,Wallace Beery
939,Wesley Barry
940,June Prentis
941,Jean Prentis
942,Winifred Greenwood
943,Helen Kelly
944,Val Paul
945,John Burton
946,Charles A. Post
947,Vera Sisson
948,Rudolph Valentino
949,Frank Newburg
950,Edward Jobson
951,George Nichols
952,Laura La Varnie
953,Lew Cody
954,Minta Durfee
955,Wheeler Oakman
956,Tom Kennedy
957,Sylvia Ashton
958,Wanda Hawley
959,Marcia Manon
960,Julia Faye
961,Edna Mae Cooper
962,Alice Terry
963,Harrison Ford
964,Vera Doria
965,Florence Carpenter
966,Thomas Persse
967,Louis Willoughby
968,Helen Haskell
969,Larry Steers
970,Bertram Grassby
971,Porter Strong
972,Lydia Yeamans Titus
973,Andrew Arbuckle
974,Frances Sparks
975,Gloria Swanson
976,Joe King
977,Harvey Clark
978,Leone Carton
979,Arthur Millett
980,Myrtle Rishell
981,Edna Purviance
982,Syd Chaplin
983,Loyal Underwood
984,Henry Bergman
985,Albert Austin
986,Jack Wilson
987,Conway Tearle
988,True Boardman
989,George B. French
990,Gordon Griffith
991,Colin Kenny
992,Thomas Jefferson
993,Bessie Toner
994,Louis Morrison
995,Fred L. Wilson
996,Mary Harald
997,Georges Biscot
998,Marcel Marquet
999,Émile André
1000,Jeanne Rollette
1001,Lugane
1002,Adeline de La Croix
1003,Manuel Caméré
1004,Marguerite Courtot
1005,Raymond McKee
1006,Frank DeVernon
1007,Mortimer Martine
1008,Blanche Davenport
1009,Harold Hollacher
1010,Darwin Karr
1011,Earl Schenck
1012,Gertrude Norman
1013,Lew Hart
1014,Thomas Holcomb
1015,J.F. Rorke
1016,Moss Gill
1017,Kathlyn Williams
1018,Noah Beery
1019,Walter Lynch
1020,Leo Connard
1021,Ilse von Tasso-Lind
1022,Alexandra Willegh
1023,Ernst Pittschau
1024,Fritz Schulz
1025,Clementine Plessner
1026,Anita Berber
1027,Helga Molander
1028,Magnus Hirschfeld
1029,Karl Giese
1030,Aurora Mardiganian
1031,Henry Morgenthau
1032,Lillian West
1033,Eugenie Besserer
1034,Frank Clark
1035,Howard Davies
1036,Hector Dion
1037,Miles McCarthy
1038,Julius Falkenstein
1039,Curt Bois
1040,Joaquín Coss
1041,Juan de Homs
1042,Manuel de los Ríos
1043,María Teresa Montoya
1044,Dora Vila
1045,Valentín Asperó
1046,Juan Manuel Cabrera
1047,Enrique Cantalaúba
1048,Russo Conde
1049,Ángel Esquivel
1050,Francisco Ferriz
1051,María Mercedes Ferriz
1052,Miguel Ángel Ferriz
1053,Ernesto Finance
1054,Antonio Galé
1055,Nell Shipman
1056,Charles Arling
1057,Wellington A. Playter
1058,Jane Novak
1059,James Gordon
1060,Richard Wayne
1061,Gibson Gowland
1062,Otto Hoffman
1063,Francelia Billington
1064,Ruby Kendrick
1065,Valerie Germonprez
1066,Jack Perrin
1067,Richard Cummings
1068,Louis Fitzroy
1069,William De Vaull
1070,Jack Mathis
1071,Percy Challenger
1072,Richard Barthelmess
1073,Arthur Howard
1074,Edward Peil Sr.
1075,Norman Selby
1076,Colleen Moore
1077,John Gilbert
1078,Jay Morley
1079,Milla Davenport
1080,Percy Haswell
1081,Fay Lemport
1082,Mahlon Hamilton
1083,Betty Bouton
1084,Audrey Chapman
1085,Marshall Neilan
1086,Carrie Clark Ward
1087,Mae Murray
1088,Harry L. Rattenberry
1089,Bert Woodruff
1090,Martha Mattox
1091,Ivor McFadden
1092,Alice Knowland
1093,I.S. McVea's Band
1094,Satchel McVea
1095,Ted Shawn
1096,Clara Kimball Young
1097,Gareth Hughes
1098,Pauline Starke
1099,Sam Sothern
1100,Edmund Lowe
1101,Milton Sills
1102,Vincent Serrano
1103,William Courtleigh
1104,Edward Kimball
1105,Marion Davies
1106,Frederick Burton
1107,Amelia Summerville
1108,Constance Beaumar
1109,Elmer Grandin
1110,Helen Lindroth
1111,Ralph Graves
1112,Katherine Albert
1113,Harry Houdini
1114,Ann Forrest
1115,Augustus Phillips
1116,Arthur Hoyt
1117,Mae Busch
1118,Edward Martin
1119,Lil Dagover
1120,Georg John
1121,Meinhart Maur
1122,Rudolf Lettinger
1123,Erner Huebsch
1124,Käte Küster
1125,Niels Prien
1126,Herta Heden
1127,Loni Nest
1128,Lila Lee
1129,Edwin Stevens
1130,Clarence Burton
1131,Ruth Renick
1132,Robert Brower
1133,Frank Bonner
1134,Harold Goodwin
1135,Claire McDowell
1136,Henry Hebert
1137,Erik Stocklassa
1138,Bror Berger
1139,Gösta Gustafson
1140,Mary Johnson
1141,Stina Berg
1142,Gustav Aronson
1143,Jenny Öhrström Ebbesen
1144,Kenneth Harlan
1145,T.D. Crittenden
1146,Aggie Herring
1147,Max Davidson
1148,Paul Mullen
1149,Buddy Messinger
1150,Curt Goetz
1151,Ferry Sikla
1152,Harriet Bosse
1153,Tore Svennberg
1154,Hjalmar Peters
1155,Svea Peters
1156,Gustav Ranft
1157,William Iwarsson
1158,Wilhelm Högstedt
1159,Harry Ahlin
1160,Wiktor Bergendahl
1161,Ernst Brunman
1162,Artur Cederborgh
1163,Ester Lundh
1164,Romuald Joubé
1165,Maxime Desjardins
1166,Angèle Guys
1167,Maryse Dauvray
1168,Mancini
1169,Pierre Danis
1170,Blaise Cendrars
1171,Paul Duc
1172,Werner Krauss
1173,Friedrich Feher
1174,Hans Heinrich von Twardowski
1175,Robert Cain
1176,Bebe Daniels
1177,Rhy Darby
1178,Mildred Reardon
1179,Edmund Burns
1180,Henry Woodward
1181,Ethel Orff
1182,Heinz Landsmann
1183,Trude Troll
1184,Betty Compson
1185,J.M. Dumont
1186,Elinor Fair
1187,Lucille Hutton
1188,Lawson Butt
1189,A.W. McClure
1190,Lloyd Ingraham
1191,William Brown
1192,Theodor Becker
1193,Karl Bernhard
1194,Julietta Brandt
1195,Franz Knaak
1196,Otto Mannstaedt
1197,Auguste Prasch-Grevenberg
1198,Marga von Kierska
1199,Hans Walter
1200,Anders Wikman
1201,Richard Christensen
1202,Christian Engelstoft
1203,Hallander Helleman
1204,Halvard Hoff
1205,Jacoba Jessen
1206,Betty Kirkeby
1207,Axel Madsen
1208,Carl Walther Meyer
1209,Peter Nielsen
1210,Fanny Petersen
1211,Olga Raphael-Linden
1212,Hermann Thimig
1213,Marga Köhler
1214,Gerhard Ritterband
1215,Josefine Dora
1216,Lapitski
1217,Paul Morgan
1218,Hedy Searle
1219,Arthur Weinschenk
1220,Ann Little
1221,Clarence Geldart
1222,Carol Dempster
1223,Clarine Seymour
1224,Rhea Haines
1225,Herbert Sutch
1226,J. Wesley Warner
1227,Arthur Tauchert
1228,Lottie Lyell
1229,Gilbert Emery
1230,Stanley Robinson
1231,Harry Young
1232,Margaret Reid
1233,Charles Keegan
1234,William Coulter
1235,Helen Fergus
1236,C.J. Dennis
1237,Carl de Vogt
1238,Ressel Orla
1239,Harry Frank
1240,Gilda Langer
1241,Lillebil Ibsen
1242,Louise Fahlman
1243,Axel Hultman
1244,Raymond Cannon
1245,Hugo Döblin
1246,Seena Owen
1247,Ben Deeley
1248,Bull Montana
1249,Lloyd Bacon
1250,Bert Sprotte
1251,Albert MacQuarrie
1252,Kathleen Clifford
1253,Herbert Grimwood
1254,Daisy Jefferson
1255,Victor Fleming
1256,Thomas J. Geraghty
1257,William C. McGann
1258,Harris Thorpe
1259,Priscilla Dean
1260,Gertrude Astor
1261,Kalla Pasha
1262,Bothwell Browne
1263,Ford Sterling
1264,Malcolm St. Clair
1265,Bert Roach
1266,Eva Thatcher
1267,Marie Prevost
1268,Ben Turpin
1269,Charles Murray
1270,Heinie Conklin
1271,Joseph Belmont
1272,Hans Adalbert Schlettow
1273,Hanna Ralph
1274,Erna Morena
1275,Ernst Hofmann
1276,Gertrude Welcker
1277,Käthe Haack
1278,Sebastian Droste
1279,Henny Porten
